Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","Capacitor_SMD+THT_1206_5.0x2.5mm_P5.00mm",36.3500,-50.1500,90.0000,bottom
"C2","100nF","Capacitor_SMD+THT_1206_5.0x2.5mm_P5.00mm",39.8500,-50.1500,270.0000,bottom
"C3","100nF","Capacitor_SMD+THT_1206_5.0x2.5mm_P5.00mm",93.5000,-50.1500,90.0000,bottom
"C4","100nF","Capacitor_SMD+THT_1206_5.0x2.5mm_P5.00mm",97.0000,-50.1500,270.0000,bottom
"D1","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",30.2000,-50.1500,90.0000,bottom
"D2","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",46.0000,-50.1500,90.0000,bottom
"D3","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",87.3500,-50.1500,90.0000,bottom
"D4","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",103.1500,-50.1500,90.0000,bottom
"D5","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",38.1000,-70.2125,0.0000,bottom
"D6","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",57.1500,-70.2125,0.0000,bottom
"D7","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",76.2000,-70.2125,0.0000,bottom
"D8","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",95.2500,-70.2125,0.0000,bottom
"D9","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",38.1000,-89.2625,0.0000,bottom
"D10","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",57.1500,-89.2625,0.0000,bottom
"D11","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",76.2000,-89.2625,0.0000,bottom
"D12","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",95.2500,-89.2625,0.0000,bottom
"D13","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",38.1000,-108.3125,0.0000,bottom
"D14","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",57.1500,-108.3125,0.0000,bottom
"D15","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",76.2000,-108.3125,0.0000,bottom
"D16","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",95.2500,-108.3125,0.0000,bottom
"D17","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",38.1000,-127.3625,0.0000,bottom
"D18","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",57.1500,-127.3625,0.0000,bottom
"D19","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",76.2000,-127.3625,0.0000,bottom
"D20","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",38.1000,-146.4125,0.0000,bottom
"D21","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",57.1500,-146.4125,0.0000,bottom
"D22","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",76.2000,-146.4125,0.0000,bottom
"D23","1N4148","Diode_SMD+THT_SOD123_DO35_P6.5mm",85.7250,-128.5875,90.0000,bottom
"SW5","SW_Push","SW_MX_HotSwap_THT_sqSilk",38.7350,-65.7225,0.0000,bottom
"SW6","SW_Push","SW_MX_HotSwap_THT_sqSilk",57.7850,-65.7225,0.0000,bottom
"SW7","SW_Push","SW_MX_HotSwap_THT_sqSilk",76.8350,-65.7225,0.0000,bottom
"SW8","SW_Push","SW_MX_HotSwap_THT_sqSilk",95.8850,-65.7225,0.0000,bottom
"SW9","SW_Push","SW_MX_HotSwap_THT_sqSilk",38.7350,-84.7725,0.0000,bottom
"SW10","SW_Push","SW_MX_HotSwap_THT_sqSilk",57.7850,-84.7725,0.0000,bottom
"SW11","SW_Push","SW_MX_HotSwap_THT_sqSilk",76.8350,-84.7725,0.0000,bottom
"SW12","SW_Push","SW_MX_HotSwap_THT_sqSilk",95.8850,-84.7725,0.0000,bottom
"SW13","SW_Push","SW_MX_HotSwap_THT_sqSilk",38.7350,-103.8225,0.0000,bottom
"SW14","SW_Push","SW_MX_HotSwap_THT_sqSilk",57.7850,-103.8225,0.0000,bottom
"SW15","SW_Push","SW_MX_HotSwap_THT_sqSilk",76.8350,-103.8225,0.0000,bottom
"SW16","SW_Push","SW_MX_HotSwap_THT_sqSilk",95.8850,-103.8225,0.0000,bottom
"SW17","SW_Push","SW_MX_HotSwap_THT_sqSilk",38.7350,-122.8725,0.0000,bottom
"SW18","SW_Push","SW_MX_HotSwap_THT_sqSilk",57.7850,-122.8725,0.0000,bottom
"SW19","SW_Push","SW_MX_HotSwap_THT_sqSilk",76.8350,-122.8725,0.0000,bottom
"SW20","SW_Push","SW_MX_HotSwap_THT_sqSilk",38.7350,-141.9225,0.0000,bottom
"SW21","SW_Push","SW_MX_HotSwap_THT_sqSilk",57.7850,-141.9225,0.0000,bottom
"SW22","SW_Push","SW_MX_HotSwap_THT_sqSilk",76.8350,-141.9225,0.0000,bottom
"SW23","SW_Push","SW_MX_2U_HotSwap_THT_sqSilk",99.0600,-127.9525,90.0000,bottom
"SW25","SW_SPST","SW_SPDT_PCM12",54.0750,-30.7050,180.0000,bottom
